rank,type,m,k,n,count,total_ms,mean_us,p50_us,p99_us,operations,modeled_bytes,effective_tops,compute_util_pct,modeled_mbu_pct,roofline_lower_ms,ideal_speedup,duration_weighted_aic_mac_ratio,duration_weighted_cube_utilization(%)
rank0,QuantBatchMatmulV3,15900,3072,5120,19,23.520024000000003,1237.896,1233.779,1270.8066199999998,9503244288000,4321802320,404.04908974582673,36.075811584448815,5.742184723110825,8.485039542857145,2.771940411261792,0.6267813381908113,93.08528517645217
rank0,QuantBatchMatmulV3,15912,3072,5120,19,23.283244,1225.4338947368421,1223.958,1248.69382,9510416547840,4324838368,408.46612902566324,36.470190091577074,5.804655012849584,8.491443346285717,2.7419654174792836,0.6275197047713797,94.00468700787569
rank0,QuantBatchMatmulV3,14868,3072,5120,19,22.01006,1158.4242105263156,1153.873,1180.216,8886429941760,4060702192,403.7440125906063,36.04857255273271,5.765406523198938,7.934312448000003,2.7740349455923003,0.6264181623766587,93.17553147706096
rank0,QuantBatchMatmulV3,14860,3072,5120,19,21.98138,1156.9147368421054,1154.732,1178.1067999999998,8881648435200,4058678160,404.05326850270546,36.07618468774156,5.770051402596196,7.930043245714288,2.7719117435935314,0.6261569926455937,93.24346295742123
rank0,MatMulV3,4140,3072,5120,48,21.909829000000002,456.4547708333334,456.466,459.7242,6251190681600,4765777920,285.31444410634145,50.949007876132406,6.7974314176527795,11.162840502857144,1.9627467573680868,0.851015907837528,96.73684749552358
rank0,QuantBatchMatmulV3,14852,3072,5120,19,21.899909,1152.626789473684,1152.612,1162.6014,8876866928640,4056654128,405.3380737171099,36.190899439027675,5.788628687909159,7.925774043428575,2.7631255799119927,0.626259283771453,93.60002748837904
rank0,QuantBatchMatmulV3,2048,8704,5120,67,21.484617999999998,320.66594029850745,320.286,326.82099999999997,12229919375360,5586475008,569.2407179573778,50.8250641033373,8.125689923832951,10.919570870857147,1.9675331800207945,0.869298296297379,93.50582861733916
rank0,QuantBatchMatmulV3,11820,3072,5120,19,17.471816999999998,919.5693157894736,914.993,939.8766,7064675942400,3289546000,404.346951573497,36.1024063904908,5.883664675517149,6.307746377142856,2.7698984637860464,0.6257315141865327,93.4441087498799
rank0,QuantBatchMatmulV3,15392,3072,5120,19,16.019843,843.1496315789474,842.767,848.0092000000001,9199618621440,4193276288,574.263968844139,51.273568646798125,8.179848204504875,8.213945197714283,1.9503226055681364,0.8404181401777782,98.83774135739031
rank0,QuantBatchMatmulV3,15364,3072,5120,19,15.998918999999999,842.0483684210526,841.908,848.04958,9182883348480,4186192176,573.9689880597557,51.24723107676391,8.176709032654019,8.199002989714284,1.9513249379309623,0.8409963558162898,98.77328366247745
rank0,QuantBatchMatmulV3,2048,5120,8192,48,14.413831,300.2881458333333,300.064,306.32973000000004,8246337208320,4128374784,572.1127997351988,51.08149997635704,8.950549787908571,7.362801078857142,1.957655903728058,0.8548152087394392,95.73218681459495
rank0,QuantBatchMatmulV3,6144,5120,7168,19,14.165912,745.5743157894736,744.099,756.2504200000001,8568459755520,2969257984,604.8646748278544,54.00577453820128,6.550182720321854,7.6504104959999975,1.8516538435952712,0.8798259778826807,98.33537808811745
rank0,MatMulV2,15912,5120,48,48,13.320984000000001,277.5205,277.63199999999995,281.37167,375411179520,7917981696,28.18194057736275,5.032489388814777,18.574973740678615,2.4743692799999994,5.383587691486375,0.11166338222461644,84.83892679181959
rank0,MatMulV2,15900,5120,48,48,13.259862000000002,276.24712500000004,275.992,279.00633,375128064000,7912028160,28.29049533094688,5.051874166240514,18.646565099998774,2.4725088000000013,5.362918020756891,0.11210246773307292,84.82570710343741
rank0,MatMulV2,15392,5120,48,48,12.759285,265.8184375,265.971,268.8186,363142840320,7659995136,28.461065045572695,5.082333043852267,18.76083557973664,2.393748480000001,5.330252992996154,0.11668441460473687,85.41667724939133
rank0,MatMulV2,15364,5120,48,48,12.434014,259.0419583333333,258.8505,262.5684,362482237440,7646103552,29.15247139338913,5.205798463105203,19.21670154143304,2.3894073600000025,5.203806687864218,0.11887142422390709,82.46743100771802
rank0,MatMulV3,2048,3072,5120,48,12.074406000000002,251.550125,251.76999999999998,255.09707,3092376453120,3120562176,256.11002753427374,45.73393348826316,8.076386366335536,5.522100809142863,2.1865602272252223,0.7681126732031371,94.7211632748642
rank0,MatMulV2,14868,5120,48,48,11.788101000000001,245.5854375,245.6395,248.4626,350780129280,7400024064,29.757136393724483,5.313774356022229,19.617303245026488,2.3125075199999996,5.097540612538204,0.10509674569296615,95.17401413399834
rank0,MatMulV2,14860,5120,48,48,11.76012,245.00250000000003,244.81,248.5602,350591385600,7396055040,29.811888450117856,5.323551508949617,19.65343210783563,2.3112672,5.088169814377152,0.10522369890783427,95.1189708986813
rank0,MatMulV2,14852,5120,48,48,11.696095,243.66864583333333,243.969,246.5966,350402641920,7392086016,29.95894287110356,5.349811226982778,19.750411397992238,2.3100268799999983,5.063185671674958,0.10580735801137046,95.12829335688535
rank0,QuantBatchMatmulV3,4140,5120,7168,19,10.095526,531.3434736842105,530.442,540.96342,5773669171200,2228299024,571.9037493638272,51.06283476462743,6.897544961996037,5.155061760000001,1.958371493884876,0.8534213336680031,97.18375334925591
rank0,QuantBatchMatmulV3,40,5120,17408,131,9.619888999999999,73.43426717557251,73.446,76.818,934071500800,11889740256,97.09794996595075,8.66945981838846,38.62356239245588,3.7155438299999872,2.589093128797792,0.2423233497808551,87.38242802344186
rank0,MatMulV2,11820,5120,48,48,9.178274,191.21404166666665,191.2255,194.54113,278868787200,5887825920,30.383576171293207,5.425638602016645,20.046749530467274,1.8399456000000018,4.988339872657099,0.10770473773173475,94.85024589841184
rank0,MatMulV2,1,5120,124160,8,8.76546,1095.6825,1103.638,1108.3238000000001,10171187200,10173255680,1.1603711841705968,0.20720914003046376,36.26897390439293,3.1791424000000004,2.7571775331611437,0.10323590593077832,95.71556813390285
rank0,MatMulV3,15900,10240,2560,3,8.533725,2844.5750000000003,2842.468,2852.73938,2500853760000,1378406400,293.0553492173699,52.331312360244624,5.047643321058506,4.465810285714285,1.9109018193850729,0.8706644571977652,96.48008244125513
rank0,MatMulV3,15912,10240,2560,3,8.528082999999999,2842.694333333333,2842.307,2844.3855799999997,2502741196800,1379328000,293.47054863326264,52.40545511308262,5.054359813336714,4.469180708571428,1.90819829317799,0.8703331754627623,96.59265717254395
rank0,MatMulV3,15364,10240,2560,3,8.171035,2723.6783333333333,2724.318,2726.49458,2416548249600,1337241600,295.7456735407448,52.81172741799015,5.114260310964278,4.315264731428571,1.8935188241151022,0.868999221518449,97.63031743310366
rank0,MatMulV3,15392,10240,2560,3,8.166554,2722.1846666666665,2725.459,2728.39802,2420952268800,1339392000,296.4472247168145,52.93700441371687,5.125295197950078,4.323129051428572,1.8890377554890185,0.8699964926454905,97.61640789787225
rank0,MatMulV3,14860,10240,2560,3,7.980259,2660.086333333333,2658.973,2662.3246,2337275904000,1298534400,292.88221146707144,52.300394904834185,5.084947744177225,4.173706971428571,1.912031451807583,0.870666806177594,96.42529854081178
rank0,MatMulV3,14852,10240,2560,3,7.977659,2659.2196666666664,2658.973,2660.2078,2336017612800,1297920000,292.8199378790194,52.28927462125346,5.084198259163497,4.1714600228571435,1.9124380807408266,0.869999934817971,96.54134071310895
rank0,MatMulV3,14868,10240,2560,3,7.9750380000000005,2658.346,2659.113,2659.4658,2338534195200,1299148800,293.23173070774084,52.362809054953715,5.090684207398134,4.1759539199999995,1.9097523949689563,0.8723334746492742,96.45731792400237
rank0,MatMulV2,9,5120,124160,7,7.480199,1068.599857142857,1112.069,1116.32386,80098099200,8916078080,10.708017153019592,1.91214592018207,37.24866678012176,2.7862744000000004,2.684659845419388,0.10585879707210999,95.41348690201959
rank0,MatMulV2,7,5120,124160,7,7.479818,1068.5454285714286,1109.549,1118.645,62298521600,8912458240,8.328882012904591,1.4873003594472487,37.23544075537667,2.7851431999999994,2.685613436321695,0.10600281905254914,95.54343365841254
rank0,MatMulV2,13,5120,124160,6,6.702557,1117.0928333333334,1114.0795,1133.8799999999999,99169075200,7648558080,14.795707847020175,2.6420906869678884,35.66063518743668,2.3901744,2.804212529428815,0.101161106425503,95.02997494776993
rank0,QuantBatchMatmulV3,6144,3072,5120,19,6.647973,349.89331578947366,349.568,354.73522,3672197038080,1853495296,552.3784525117655,49.3195046885505,8.712690018446223,3.2787473554285707,2.0275953830334186,0.8113040501217438,97.49706190999872
rank0,MatMulV3,11820,10240,2560,3,6.460297000000001,2153.4323333333336,2152.373,2156.19402,1859125248000,1065062400,287.7770554511657,51.388759901993886,5.151961279798746,3.319866514285714,1.9459508303122137,0.8593324542199838,96.018024025366
rank0,MatMulV2,4,5120,124160,6,6.38129,1063.5483333333334,1091.487,1110.06595,30513561600,7634595840,4.781723068533165,0.8538791193809223,37.387600312789424,2.3858112,2.6746835625551593,0.10639105964467999,95.68888439970601
rank0,QuantBatchMatmulV3,40,8704,5120,131,5.52312,42.1612213740458,41.243,50.78399999999999,467035750400,5938575840,84.56013094048292,7.5500116911145465,33.600663212097515,1.8558049499999985,2.976131731947371,0.2637859219064587,71.03421619139183
rank0,QuantBatchMatmulV3,2048,5120,7168,19,5.0444439999999995,265.4970526315789,265.461,269.19662,2856153251840,1454802944,566.1978310870336,50.553377775628,9.01240889977171,2.5501368320000006,1.9781071888773059,0.8455679061954103,95.79565789569673
rank0,QuantBatchMatmulV3,8,5120,17408,67,4.870648,72.69623880597015,72.706,75.3528,95546245120,5995380832,19.616741985871286,1.751494820167079,38.46626793806492,1.8735565099999996,2.5996803266958843,0.11851731042768848,88.04169759362614
rank0,QuantBatchMatmulV3,16,5120,17408,67,4.833381999999999,72.14002985074626,71.926,79.13194000000004,191092490240,6016788672,39.53597920462318,3.5299981432699274,38.90125920111425,1.8802464600000024,2.5706108761933226,0.11935835177107872,87.89709195776375
rank0,MatMulV2,6144,5120,48,48,4.747897,98.91452083333333,98.7875,101.4912,144955146240,3071803392,30.530389821009177,5.45185532518021,20.218184177120946,0.959938560000001,4.946042588392318,0.10653704661242651,95.73974115655837
rank0,QuantBatchMatmulV3,32,5120,17408,64,4.710857,73.607140625,73.506,77.8532,365072220160,5788278784,77.49592487311757,6.919279006528354,38.397198641351245,1.8088371199999977,2.604356659819103,0.1865290466256989,87.568564428086
rank0,QuantBatchMatmulV3,4140,3072,5120,19,4.695956,247.15557894736844,247.3,249.02,2474429644800,1346475280,526.9277746213977,47.04712273405337,8.960337894988795,2.209312182857143,2.1255284954465155,0.7916055137654614,96.53025801093538
rank0,QuantBatchMatmulV3,24,5120,17408,64,4.639475,72.491796875,72.376,75.3116,273804165120,5767829504,59.016195823880935,5.269303198560798,38.85023025234537,1.8024467200000032,2.573987318748591,0.1888854601005502,87.83728553015159
rank0,MatMulV2,40,3072,5120,96,4.178948999999999,43.53071875,43.673,58.53199999999999,120795955200,3082813440,28.905821822664027,5.16175389690429,23.05314565935119,0.9633792000000008,4.337802809111922,0.14310438533707878,88.49454991578027
rank0,QuantBatchMatmulV3,40,5120,8192,96,3.8380880000000004,39.98008333333333,39.3935,47.476,322122547200,4110695424,83.92786908481514,7.4935597397156375,33.46959006672072,1.284592320000002,2.987786817844275,0.3128631706724807,57.47446154048578
rank0,MatMulV2,15,5120,124160,3,3.411594,1137.198,1134.871,1142.22198,57212928000,3825830400,16.77014556831792,2.9946688514853426,35.044381013684514,1.195572,2.853524505425018,0.10033265124748139,94.11119986756925
rank0,MatMulV2,14,5120,124160,3,3.398371,1132.7903333333334,1133.911,1141.4373999999998,53398732800,3825054720,15.713038040873114,2.805899650155913,35.173605236155794,1.1953296,2.843040948705696,0.10100000000000002,94.23914033959213
rank0,MatMulV2,11,5120,124160,3,3.396031,1132.0103333333334,1132.251,1132.93602,41956147200,3822727680,12.354465315540406,2.2061545206322157,35.176428012582925,1.1946023999999997,2.842812805331716,0.101,94.1881500510449
rank0,MatMulV2,6,5120,124160,3,3.3213459999999997,1107.1153333333332,1107.329,1108.8185999999998,22885171200,3818849280,6.890330366062434,1.2304161367968631,35.9309267989544,1.1933904,2.783117745877627,0.1016661446895325,96.11733198558656
rank0,MatMulV2,2,5120,124160,3,3.054664,1018.2213333333333,986.159,1084.85284,7628390400,3815746560,2.4972927955415063,0.4459451420609833,39.03607074296878,1.1924208,2.5617332404802062,0.11173033106096122,95.38156916178016
rank0,MatMulV2,4140,5120,48,48,3.052529,63.59435416666667,63.875,65.86227,97674854400,2077562880,31.998010305553198,5.713930411705928,21.268869190104336,0.6492384000000001,4.70170741595075,0.1755663035469933,61.5354349914448
rank0,MatMulV2,5,5120,124160,3,3.038763,1012.9209999999999,993.38,1056.7899200000002,19070976000,3818073600,6.275901082117954,1.1206966218067775,39.264266413668985,1.193148,2.546844984863571,0.11156263058356312,95.71982335871539
rank0,MatMulV3,6144,10240,2560,3,3.020363,1006.7876666666667,1001.921,1019.11118,966367641600,629145600,319.9508276323078,57.1340763629121,6.5094162522849075,1.7256565028571427,1.7502689527140727,0.9266421264596342,98.33716335917238
rank0,MatMulV2,10,5120,124160,3,3.007101,1002.3670000000001,1000.46,1007.20338,38141952000,3821952000,12.683961064161132,2.26499304717163,39.717987523531804,1.19436,2.5177509293680296,0.11299732599603407,95.35909503505204
rank0,QuantBatchMatmulV3,8,8704,5120,67,2.8450480000000002,42.46340298507463,41.844,50.931200000000004,47773122560,2996662368,16.791675416372588,1.4992567336046954,32.915331832714244,0.9364569900000014,3.0380978842391855,0.12352021582764157,72.4368313683987
rank0,QuantBatchMatmulV3,16,8704,5120,67,2.832106,42.27023880597015,41.543,49.88680000000001,95546245120,3006818496,33.736818155817616,3.01221590676943,33.177811141249656,0.9396307800000014,3.0140626087195606,0.12318162561712026,72.77645111235243
rank0,QuantBatchMatmulV3,32,8704,5120,64,2.7874630000000002,43.554109375,42.673,52.185599999999994,182536110080,2891587584,65.48467552035667,5.846846028603274,32.4173314587494,0.9036211200000014,3.084769643277036,0.19156554723775704,72.10727920980474
rank0,QuantBatchMatmulV3,24,8704,5120,64,2.739162,42.79940625,42.033500000000004,50.5482,136902082560,2881886208,49.97954942423997,4.462459770021426,32.878283212164895,0.9005894400000013,3.0415213396239644,0.1956805815063147,71.84342611901013
rank0,QuantBatchMatmulV3,2048,3072,5120,19,2.521282,132.69905263157892,132.67,136.48139999999998,1224065679360,817190912,485.49336383633414,43.34762177110126,10.128663116620832,1.0929157851428573,2.3069316357897036,0.742886666386386,93.62473802573453
rank0,MatMulV3,4140,10240,2560,3,2.241859,747.2863333333333,747.219,747.6707799999999,651165696000,475238400,290.45791729096254,51.867485230529034,6.624502254602097,1.1627958857142857,1.927990137858859,0.8946677757164926,93.21487500552
rank0,MatMulV2,16,5120,124160,2,2.232438,1116.219,1116.219,1139.3587599999998,40684748800,2551070720,18.224357764918892,3.254349600878373,35.710268325480925,0.7972096000000001,2.80031499871552,0.10295769289001529,97.09179622547187
rank0,MatMulV2,32,3072,5120,48,2.155188,44.899750000000004,46.2435,57.3872,48318382080,1535115264,22.419567146810397,4.003494133358999,22.259010350837144,0.47972351999999974,4.49256271612449,0.10594059590161045,88.93932541012666
rank0,MatMulV2,16,3072,5120,48,2.091384,43.5705,44.1535,52.59100000000001,24159191040,1522532352,11.551771955795779,2.0628164206778177,22.750071722839994,0.4757913600000004,4.395590537835741,0.078826589951917,88.545266884991
